#n, kade_wo_sym, kasa, kade_fwd, kade_bwd, bngl, bngl_sym, erode_initial_fb,erode_initial_nfb, erode_initial_bb,erode_initial_nbb,erode_reduced_fb,erode_reduced_nfb, erode_reduced_bb,erode_reduced_nbb,
0,0.,      0.,       0.,      0.,      0.,    0.,   0.,    0.,    0.,    0.,0.,
1,0.00542, 0.002386, 0.007474,0.004767,0.02,  0.01, 0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,
2,0.009713, 0.003688, 0.0011809,0.010309,0.04,  0.02, 0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.001,
3,0.03105, 0.004322, 0.010267,0.016402,0.22,   0.06, 0.001,0.001,0.001,0.001,0.001,0.006,0.002,0.002,
4,0.159678, 0.005659, 0.035457,0.039075,1.23,  0.15, 0.004,0.008,0.004,0.005,0.002,0.007,0.003,0.003,
5,1.26683,  0.007863, 0.079153,0.084271,  7.06,  0.33, 0.016,0.042,0.024,0.025,0.003,0.009,0.004,0.003,
6,16.1219,  0.011796, 0.183597 ,0.201491,39.71, 0.63, 0.063,0.156,0.088,0.085,0.005,0.010,0.004,0.003,
7,344.108,  0.014771,  0.677966 , 0.672631, 222.91,1.15, 0.244, 0.800, 0.499, 0.463,0.005,0.010,0.005,0.005,
8,?,       0.020017, 4.22518, 4.17969,   ?,     1.97,?,?,?,?,0.006,0.008,0.006,0.003,
9,?,       0.028944, 37.8643, 38.0085,    ?,     3.17,?,?,?,?,0.005,0.011,0.007,0.006,
10,?,      0.036031, 421.908, 424.09,   ?,     4.91,?,?,?,?,0.007,0.015,0.009,0.005,
